Level,Starting Balance,Percentage Growth (%),Percentage Loss (%),Loss,Profit Goal,Pips Loss,Lot Size,Ending Balance
1,8.79,30,23.09442548,2.03,2.637,8.8,0.0165,11.427
2,11.427,30,23.07692308,2.637,3.4281,7.69,0.02318,14.8551
3,14.8551,30,23.07692308,3.4281,4.45653,7.69,0.034281,19.31163
4,19.31163,30,23.07692308,4.45653,5.793489,7.69,0.0445653,25.105119
5,25.105119,30,23.07692308,5.793489,7.5315357,7.69,0.05793489,32.6366547
6,32.6366547,30,23.07692308,7.5315357,9.79099641,7.69,0.075315357,42.42765111
7,42.42765111,30,23.07692308,9.79099641,12.72829533,7.69,0.0979099641,55.15594644
8,55.15594644,30,23.07692308,12.72829533,16.54678393,7.69,0.1272829533,71.70273038
9,71.70273038,30,23.07692308,16.54678393,21.51081911,7.69,0.1654678393,93.21354949
10,93.21354949,30,23.07692308,21.51081911,27.96406485,7.69,0.2151081911,121.1776143
11,121.1776143,30,23.07692308,27.96406485,36.3532843,7.69,0.2796406485,157.5308986
12,157.5308986,30,23.07692308,36.3532843,47.25926959,7.69,0.363532843,204.7901682
13,204.7901682,30,23.07692308,47.25926959,61.43705047,7.69,0.4725926959,266.2272187
14,266.2272187,30,23.07692308,61.43705047,79.86816561,7.69,0.6143705047,346.0953843
15,346.0953843,30,23.07692308,79.86816561,103.8286153,7.69,0.7986816561,449.9239996
16,449.9239996,30,23.07692308,103.8286153,134.9771999,7.69,1.038286153,584.9011995
17,584.9011995,30,23.07692308,134.9771999,175.4703598,7.69,1.349771999,760.3715593
18,760.3715593,30,23.07692308,175.4703598,228.1114678,7.69,1.754703598,988.4830271
19,988.4830271,30,23.07692308,228.1114678,296.5449081,7.69,2.281114678,1285.027935
20,1285.027935,30,23.07692308,296.5449081,385.5083806,7.69,2.965449081,1670.536316
21,1670.536316,30,23.07692308,385.5083806,501.1608947,7.69,3.855083806,2171.697211
22,2171.697211,30,23.07692308,501.1608947,651.5091632,7.69,5.011608947,2823.206374
23,2823.206374,30,23.07692308,651.5091632,846.9619121,7.69,6.515091632,3670.168286
24,3670.168286,30,23.07692308,846.9619121,1101.050486,7.69,8.469619121,4771.218772
25,4771.218772,30,23.07692308,1101.050486,1431.365631,7.69,11.01050486,6202.584403
26,6202.584403,30,23.07692308,1431.365631,1860.775321,7.69,14.31365631,8063.359724
27,8063.359724,30,23.07692308,1860.775321,2419.007917,7.69,18.60775321,10482.36764
28,10482.36764,30,23.07692308,2419.007917,3144.710292,7.69,24.19007917,13627.07793
29,13627.07793,30,23.07692308,3144.710292,4088.12338,7.69,31.44710292,17715.20131
30,17715.20131,30,23.07692308,4088.12338,5314.560394,7.69,40.8812338,23029.76171
31,23029.76171,30,23.07692308,5314.560394,6908.928512,7.69,53.14560394,29938.69022
32,29938.69022,30,23.07692308,6908.928512,8981.607066,7.69,69.08928512,38920.29729
33,38920.29729,30,23.07692308,8981.607066,11676.08919,7.69,89.81607066,50596.38647
34,50596.38647,30,23.07692308,11676.08919,15178.91594,7.69,116.7608919,65775.30241
35,65775.30241,30,23.07692308,15178.91594,19732.59072,7.69,151.7891594,85507.89314
36,85507.89314,30,23.07692308,19732.59072,25652.36794,7.69,197.3259072,111160.2611
37,111160.2611,30,23.07692308,25652.36794,33348.07832,7.69,256.5236794,144508.3394
38,144508.3394,30,23.07692308,33348.07832,43352.50182,7.69,333.4807832,187860.8412
39,187860.8412,30,23.07692308,43352.50182,56358.25237,7.69,433.5250182,244219.0936
40,244219.0936,30,23.07692308,56358.25237,73265.72808,7.69,563.5825237,317484.8217
41,317484.8217,30,23.07692308,73265.72808,95245.4465,7.69,732.6572808,412730.2682
42,412730.2682,30,23.07692308,95245.4465,123819.0804,7.69,952.454465,536549.3486
43,536549.3486,30,23.07692308,123819.0804,160964.8046,7.69,1238.190804,697514.1532
44,697514.1532,30,23.07692308,160964.8046,209254.246,7.69,1609.648046,906768.3992
45,906768.3992,30,23.07692308,209254.246,272030.5197,7.69,2092.54246,1178798.919
